id,host_neighbourhood,host_listings_count,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type
51202978,Rudolfsheim-F«¨nfhaus,77,Rudolfsheim-F∂?nfhaus,,48.19247,16.33475,Entire condominium (condo),Entire home/apt
51203210,Rudolfsheim-F«¨nfhaus,77,Rudolfsheim-F∂?nfhaus,,48.19425,16.33356,Entire condominium (condo),Entire home/apt
51203757,Landstra«?e,1,Hernals,,48.21475,16.32625,Entire condominium (condo),Entire home/apt
51204125,Landstra«?e,1,Hernals,,48.21478,16.3268,Entire condominium (condo),Entire home/apt
51204325,Landstra«?e,1,Ottakring,,48.21329,16.3281,Entire condominium (condo),Entire home/apt
51205949,,0,Margareten,,48.1879,16.34778,Entire condominium (condo),Entire home/apt
51206431,,0,Innere Stadt,,48.20999,16.37225,Entire serviced apartment,Entire home/apt
51206513,,0,Innere Stadt,,48.20874,16.37206,Entire serviced apartment,Entire home/apt
51206565,,0,Innere Stadt,,48.21053,16.37184,Entire serviced apartment,Entire home/apt
51207421,,0,Favoriten,,48.18437075,16.38170686,Entire rental unit,Entire home/apt
51208664,,0,Favoriten,,48.18582982,16.38163438,Entire rental unit,Entire home/apt
51209383,Brigittenau,1,Meidling,,48.18367,16.34304,Entire rental unit,Entire home/apt
51209385,,0,Favoriten,,48.18613832,16.38162269,Entire rental unit,Entire home/apt
51212731,Margareten,0,Landstra∂ıe,,48.19064,16.38858,Private room in condominium (condo),Private room
51214115,Leopoldstadt,11,Leopoldstadt,,48.22108,16.38375,Entire rental unit,Entire home/apt
51220168,Rudolfsheim-F«¨nfhaus,77,Wieden,,48.18742,16.37421,Private room in condominium (condo),Private room
51220949,Rudolfsheim-F«¨nfhaus,77,Wieden,,48.18848,16.37429,Private room in condominium (condo),Private room
51221635,,1,Josefstadt,,48.20969,16.35404,Entire condominium (condo),Entire home/apt
51222891,,0,Leopoldstadt,,48.21859,16.38866,Entire condominium (condo),Entire home/apt
51223434,,0,Donaustadt,,48.23466,16.41287,Entire rental unit,Entire home/apt
51223597,,0,Wieden,,48.189972,16.365593,Entire condominium (condo),Entire home/apt
51224206,,0,Innere Stadt,,48.214256,16.372852,Private room in rental unit,Private room
51224528,,1,Hernals,,48.21906,16.33342,Private room in rental unit,Private room
51225466,Hernals,8,Hernals,,48.22394,16.31497,Entire condominium (condo),Entire home/apt
51226491,Ottakring,30,Ottakring,,48.21312,16.33786,Entire rental unit,Entire home/apt
51246577,Margareten,52,Mariahilf,,48.19468,16.34474,Entire rental unit,Entire home/apt
51246862,Margareten,52,Mariahilf,,48.19252,16.34649,Entire rental unit,Entire home/apt
51246971,Margareten,52,Mariahilf,,48.19254,16.346,Entire rental unit,Entire home/apt
51247087,Margareten,52,Leopoldstadt,,48.22367,16.37064,Entire rental unit,Entire home/apt
51247194,Margareten,52,Leopoldstadt,,48.22557,16.37094,Entire rental unit,Entire home/apt
51247249,Margareten,52,Leopoldstadt,,48.22593,16.37076,Entire rental unit,Entire home/apt
51247432,,0,Donaustadt,,48.24283,16.47198,Entire condominium (condo),Entire home/apt
51254818,,0,Brigittenau,,48.23861,16.38579,Private room in rental unit,Private room
51258557,,0,Margareten,,48.18161,16.35508,Entire condominium (condo),Entire home/apt
51264530,,1,Landstra∂ıe,,48.1993,16.38254,Private room in rental unit,Private room
51273661,Rudolfsheim-F«¨nfhaus,77,Wieden,,48.18713,16.37397,Private room in condominium (condo),Private room
51273846,Brigittenau,2,Brigittenau,,48.23249,16.37478,Private room in rental unit,Private room
51274591,Landstra«?e,1,Leopoldstadt,,48.22652,16.38914,Entire rental unit,Entire home/apt
51275459,,3,Hietzing,,48.18956,16.27393,Private room in condominium (condo),Private room
51278882,,1,Penzing,,48.21275,16.26637,Private room in residential home,Private room
51280429,,0,Floridsdorf,,48.26922,16.38789,Entire rental unit,Entire home/apt
51282293,Leopoldstadt,0,Brigittenau,,48.23756,16.38755,Entire rental unit,Entire home/apt
51285472,,2,Landstra∂ıe,,48.19904,16.39862,Entire rental unit,Entire home/apt
51293060,Rudolfsheim-F«¨nfhaus,77,Wieden,,48.18731,16.37419,Private room in condominium (condo),Private room
51293503,,0,Neubau,,48.2059,16.3424,Entire rental unit,Entire home/apt
51294559,,1,Penzing,,48.192799,16.316322,Entire rental unit,Entire home/apt
51294833,,1,Penzing,,48.19197,16.31514,Entire rental unit,Entire home/apt
51295186,Alsergrund,17,Mariahilf,,48.19794,16.35603,Entire rental unit,Entire home/apt
51295210,Alsergrund,17,Mariahilf,,48.19735,16.35775,Entire rental unit,Entire home/apt
51301351,Favoriten,21,Favoriten,,48.1843,16.37685,Entire rental unit,Entire home/apt
51301827,,1,D∂?bling,,48.25513,16.36389,Entire condominium (condo),Entire home/apt
51302449,Wieden,21,Wieden,,48.19907,16.36659,Entire rental unit,Entire home/apt
51307220,,1,Leopoldstadt,,48.22041,16.38089,Entire rental unit,Entire home/apt
51315831,Rudolfsheim-F«¨nfhaus,77,Wieden,,48.189,16.37541,Entire condominium (condo),Entire home/apt
51315943,Rudolfsheim-F«¨nfhaus,77,Wieden,,48.18907,16.37479,Entire condominium (condo),Entire home/apt
